Kab_Kota,Kode_Kab,provinsi,X,Y,tahun,suhu
KOTA TANGERANG,3671,BANTEN,106.651798,-6.1828687,2017,41.62008222
KOTA CILEGON,3672,BANTEN,106.0193786,-5.9981776,2017,38.02194339
KOTA SERANG,3673,BANTEN,106.1662923,-6.1234132,2017,36.91938458
KOTA TANGERANG SELATAN,3674,BANTEN,106.7074234,-6.3018127,2017,40.86173856
PANDEGLANG,3601,BANTEN,105.7429494,-6.5902254,2018,32.4112081
LEBAK,3602,BANTEN,106.2128345,-6.642101,2018,31.95796945
TANGERANG,3603,BANTEN,106.5186268,-6.1742697,2018,38.15712003
SERANG,3604,BANTEN,106.1486454,-6.1430068,2018,34.92079961
KOTA TANGERANG,3671,BANTEN,106.651798,-6.1828687,2018,41.51734829
KOTA CILEGON,3672,BANTEN,106.0193786,-5.9981776,2018,38.14529999
KOTA SERANG,3673,BANTEN,106.1662923,-6.1234132,2018,37.09238725
KOTA TANGERANG SELATAN,3674,BANTEN,106.7074234,-6.3018127,2018,41.33361476
PANDEGLANG,3601,BANTEN,105.7429494,-6.5902254,2019,33.59350222
LEBAK,3602,BANTEN,106.2128345,-6.642101,2019,32.76476483
TANGERANG,3603,BANTEN,106.5186268,-6.1742697,2019,39.20651824
SERANG,3604,BANTEN,106.1486454,-6.1430068,2019,35.92395616
KOTA TANGERANG,3671,BANTEN,106.651798,-6.1828687,2019,42.39353929
KOTA CILEGON,3672,BANTEN,106.0193786,-5.9981776,2019,39.43218782
KOTA SERANG,3673,BANTEN,106.1662923,-6.1234132,2019,38.10438254
